ppm,Intensity
10547.8,-15
10546.6,-15
10545.4,-15
10544.1,-15
10542.9,-15
10541.7,-15
10540.4,-15
10539.2,-15
10538,-15
10536.8,-15
10535.5,-15
10534.3,-15
10533.1,-15
10531.9,-15
10530.6,-15
10529.4,-15
10528.2,-15
10527,-15
10525.7,-15
10524.5,-15
10523.3,-15
10522,-15
10520.8,-15
10519.6,-15
10518.4,-15
10517.1,-15
10515.9,-15
10514.7,-15
10513.5,-15
10512.2,-15
10511,-15
10509.8,-15
10508.5,-15
10507.3,-15
10506.1,-15
10504.9,-15
10503.6,-15
10502.4,-15
10501.2,-15
10500,-15
10498.7,-15
10497.5,-15
10496.3,-15
10495.1,-15
10493.8,-15
10492.6,-15
10491.4,-15
10490.1,-15
10488.9,-15
10487.7,-15
10486.5,-15
10485.2,-15
10484,-15
10482.8,-15
10481.6,-15
10480.3,-15
10479.1,-15
10477.9,-15
10476.6,-15
10475.4,-15
10474.2,-15
10473,-15
10471.7,-15
10470.5,-15
10469.3,-15
10468.1,-15
10466.8,-15
10465.6,-15
10464.4,-15
10463.2,-15
10461.9,-15
10460.7,-15
10459.5,-15
10458.2,-15
10457,-15
10455.8,-15
10454.6,-15
10453.3,-15
10452.1,-15
10450.9,-15
10449.7,-15
10448.4,-15
10447.2,-15
10446,-15
10444.7,-15
10443.5,-15
10442.3,-15
10441.1,-15
10439.8,-15
10438.6,-15
10437.4,-15
10436.2,-15
10434.9,-15
10433.7,-15
10432.5,-15
10431.3,-15
10430,-15
10428.8,-15
10427.6,-15
10426.3,-15
10425.1,-15
10423.9,-15
10422.7,-15
10421.4,-15
10420.2,-15
10419,-15
10417.8,-15
10416.5,-15
10415.3,-15
10414.1,-15
10412.8,-15
10411.6,-15
10410.4,-15
10409.2,-15
10407.9,-15
10406.7,-15
10405.5,-15
10404.3,-15
10403,-15
10401.8,-15
10400.6,-15
10399.4,-15
10398.1,-15
10396.9,-15
10395.7,-15
10394.4,-15
10393.2,-15
10392,-15
10390.8,-15
10389.5,-15
