,Exp. no.,Temperature (K),Widths (kHz),Widths Error (kHz),widths_fit (kHz)
0,1,193.14999999999998,85.9618007147415,0.061512169802451666,85.2480871761094
1,3,203.14999999999998,85.49500429051247,0.16874880631842007,85.10137945921815
2,4,213.14999999999998,84.56498766775599,0.056896478035380116,84.65796108311847
3,6,223.14999999999998,82.51447945328341,0.05114514398783295,83.46715388510209
4,8,233.14999999999998,79.87023658580536,0.04759923615399167,80.63649422243674
5,10,243.14999999999998,74.76052528932709,0.03271233953710344,74.80799797361857
6,12,253.14999999999998,66.43561750302462,0.03830815288685737,64.831145419614
7,14,263.15,50.61959448808857,0.05555743682094145,51.29561078140404
8,16,273.15,36.952607499144854,0.052454643899479965,37.08608599841187
9,18,283.15,24.780691565359287,0.0410323170077856,25.262343147805915
10,20,293.15,16.773957924408116,0.02320579952695645,16.958253429178487
11,22,303.15,11.92997348567698,0.011493487105901748,11.680556818084414
12,24,313.15,8.91742106825096,0.0039644620071487445,8.477991259858758
13,26,323.15,7.200742667788612,0.003336504909399067,6.559418469288117
14,28,333.15,5.902665144269876,0.001366193867174835,5.403664189656814
15,30,343.15,4.933160002734871,0.0011282338440437298,4.697088230487335
16,32,353.15,4.25180524031918,0.0008299587723951036,4.256883611455026
17,34,363.15,3.785870519930236,0.0007110750580956306,3.976995118415905
18,36,373.15,3.4522986571043983,0.0008675873509836242,3.795366141050894
19,38,383.15,3.246723802214483,0.0010508480846411975,3.6751415027846988
20,40,393.15,3.119497913826504,0.0012821149515372015,3.5940433433936794
